Country,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsCodedJob,DeveloperType,Gender,Race
United Arab Emirates,Bachelor's degree,Computer science or software engineering,A few days each month,Fewer than 10 employees,Venture-funded startup,20 or more years,Web developer; Other,Male,White or of European descent
Germany,Master's degree,A natural science,Never,"5,000 to 9,999 employees",Non-profit/non-governmental organization or private school/university,1 to 2 years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,Male,White or of European descent
United States,Master's degree,Something else,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,Desktop applications developer,Male,White or of European descent
Poland,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),Fewer than 10 employees,I don't know,2 to 3 years,Web developer; DevOps specialist,Female,White or of European descent
Sweden,Some college/university study without earning a bachelor's degree,Computer programming or Web development,Never,20 to 99 employees,Venture-funded startup,5 to 6 years,Desktop applications developer; Systems administrator; DevOps specialist,Male,White or of European descent
United States,Master's degree,A non-computer-focused engineering discipline,About half the time,20 to 99 employees,I prefer not to answer,20 or more years,Other,Male,White or of European descent
India,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,10 to 19 employees,Pre-series A startup,2 to 3 years,Mobile developer,Male,South Asian
Netherlands,Some college/university study without earning a bachelor's degree,Computer science or software engineering,It's complicated,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",18 to 19 years,Web developer; Desktop applications developer; Database administrator,Male,White or of European descent
United States,Bachelor's degree,Management information systems,A few days each month,"10,000 or more employees",Publicly-traded corporation,4 to 5 years,Other,Male,White or of European descent
Brazil,Doctoral degree,A social science,Never,"1,000 to 4,999 employees",Government agency or public school/university,2 to 3 years,Web developer; Machine learning specialist; Data scientist,,
Australia,Secondary school,,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",Less than a year,Web developer; Mobile developer,Male,White or of European descent
Australia,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Mobile developer; Embedded applications/devices developer; Data scientist; Desktop applications developer; Database administrator; Systems administrator,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),10 to 19 employees,I don't know,20 or more years,Web developer; Embedded applications/devices developer,Male,White or of European descent
Sweden,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",Never,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",7 to 8 years,Embedded applications/devices developer,Male,White or of European descent
France,Master's degree,Computer science or software engineering,Never,"10,000 or more employees",Non-profit/non-governmental organization or private school/university,9 to 10 years,Web developer,Male,White or of European descent
United Kingdom,Master's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,4 to 5 years,Embedded applications/devices developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Web developer,Male,White or of European descent
Israel,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Other,Male,
United Kingdom,Bachelor's degree,Computer programming or Web development,Never,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",11 to 12 years,Other,Male,White or of European descent
South Africa,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",A few days each month,20 to 99 employees,Publicly-traded corporation,7 to 8 years,Mobile developer,Male,Black or of African descent; White or of European descent
India,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,10 to 19 employees,Pre-series A startup,1 to 2 years,Developer with a statistics or mathematics background,Male,South Asian
Sweden,Some college/university study without earning a bachelor's degree,Computer programming or Web development,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Management information systems,A few days each month,"10,000 or more employees",Publicly-traded corporation,7 to 8 years,Web developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,5 to 6 years,Web developer; Desktop applications developer,Male,South Asian
Germany,Bachelor's degree,A natural science,A few days each month,"1,000 to 4,999 employees","Sole proprietorship or partnership, not in startup mode",3 to 4 years,Web developer; Developer with a statistics or mathematics background,Male,White or of European descent
Germany,Secondary school,,Never,500 to 999 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Desktop applications developer; Database administrator,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",Less than a year,Developer with a statistics or mathematics background; Data scientist,Male,I don’t know
United States,Master's degree,Mathematics or statistics,A few days each month,100 to 499 employees,Publicly-traded corporation,20 or more years,Web developer; Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer; Other,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,About half the time,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer; Mobile developer; Desktop applications developer; Database administrator; Systems administrator,Male,White or of European descent
Canada,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",8 to 9 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"5,000 to 9,999 employees",Publicly-traded corporation,13 to 14 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees","Privately-held limited company, not in startup mode",9 to 10 years,Web developer,Male,South Asian
United States,Some college/university study without earning a bachelor's degree,I never declared a major,"Less than half the time, but at least one day each week",100 to 499 employees,"Privately-held limited company, not in startup mode",18 to 19 years,Web developer; Desktop applications developer,Male,White or of European descent
United Kingdom,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,10 to 11 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,8 to 9 years,Mobile developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,Less than a year,Web developer,Male,East Asian
Australia,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",9 to 10 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,"Information technology, networking, or system administration","Less than half the time, but at least one day each week",20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",9 to 10 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",7 to 8 years,Web developer; Mobile developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,8 to 9 years,Web developer; Mobile developer; DevOps specialist,Male,White or of European descent
India,Bachelor's degree,"Information technology, networking, or system administration",Never,100 to 499 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer,Male,South Asian
Germany,Secondary school,,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,5 to 6 years,Web developer; Systems administrator,Male,
United Kingdom,Some college/university study without earning a bachelor's degree,I never declared a major,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",15 to 16 years,Web developer; Mobile developer; Desktop applications developer; DevOps specialist,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer,,
India,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer,Male,I don’t know
Iran,Bachelor's degree,Computer science or software engineering,About half the time,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Data scientist,,
Australia,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Web developer; Desktop applications developer; Systems administrator,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,1 to 2 years,Web developer; Mobile developer; Developer with a statistics or mathematics background,Male,Hispanic or Latino/Latina
Spain,Professional degree,Something else,A few days each month,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",10 to 11 years,Web developer,Male,White or of European descent
Sweden,Bachelor's degree,Something else,A few days each month,"5,000 to 9,999 employees",Government agency or public school/university,5 to 6 years,Web developer; Desktop applications developer; Database administrator,Male,White or of European descent
India,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Mobile developer; Developer with a statistics or mathematics background,Male,South Asian
Turkey,Bachelor's degree,Computer science or software engineering,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Other,Male,White or of European descent
Poland,I prefer not to answer,,It's complicated,100 to 499 employees,I don't know,4 to 5 years,Web developer; Graphic designer; Desktop applications developer; Quality assurance engineer,Female,
Bosnia-Herzegovina,Secondary school,,A few days each month,100 to 499 employees,I prefer not to answer,16 to 17 years,Web developer; Data scientist; Desktop applications developer; Database administrator,Male,White or of European descent
Germany,Bachelor's degree,Management information systems,It's complicated,20 to 99 employees,"Privately-held limited company, not in startup mode",7 to 8 years,Desktop applications developer,Male,White or of European descent
Slovak Republic,Master's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",3 to 4 years,Embedded applications/devices developer; Developer with a statistics or mathematics background; Data scientist,Female,White or of European descent
Denmark,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",8 to 9 years,Web developer,Male,White or of European descent
Germany,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,1 to 2 years,Desktop applications developer,Male,White or of European descent
Switzerland,Master's degree,I never declared a major,Never,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",3 to 4 years,Web developer; Embedded applications/devices developer; Desktop applications developer; Other,Male,White or of European descent
Brazil,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,I don't know,1 to 2 years,Web developer; Desktop applications developer,Male,Black or of African descent; White or of European descent
United States,Master's degree,Computer programming or Web development,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Web developer; Mobile developer; Desktop applications developer,Male,East Asian
United States,Bachelor's degree,Computer science or software engineering,Never,"5,000 to 9,999 employees",Something else,Less than a year,Desktop applications developer,,
Germany,Secondary school,,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,Desktop applications developer; Database administrator,Male,White or of European descent
United States,Bachelor's degree,Computer programming or Web development,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Mobile developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"5,000 to 9,999 employees",Non-profit/non-governmental organization or private school/university,1 to 2 years,Web developer; Desktop applications developer; DevOps specialist; Quality assurance engineer; Other,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,Venture-funded startup,20 or more years,Mobile developer,Male,Hispanic or Latino/Latina; White or of European descent
Brazil,Master's degree,Computer science or software engineering,Never,10 to 19 employees,Pre-series A startup,9 to 10 years,Web developer; DevOps specialist,Male,Hispanic or Latino/Latina; White or of European descent
Canada,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,3 to 4 years,Web developer; DevOps specialist,Male,White or of European descent
Canada,Bachelor's degree,A natural science,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",16 to 17 years,Web developer; Mobile developer,Male,White or of European descent
Sweden,Master's degree,Management information systems,All or almost all the time (I'm full-time remote),20 to 99 employees,I don't know,13 to 14 years,Desktop applications developer,Male,White or of European descent
Canada,Bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",9 to 10 years,Web developer; Other,Male,White or of European descent
United States,Bachelor's degree,Management information systems,A few days each month,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",20 or more years,Web developer; Database administrator; Systems administrator,Male,White or of European descent
Canada,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",14 to 15 years,Web developer; Mobile developer; Desktop applications developer,Male,White or of European descent
United Kingdom,Secondary school,,Never,20 to 99 employees,Publicly-traded corporation,1 to 2 years,Web developer; Machine learning specialist; Data scientist; DevOps specialist,Male,White or of European descent
Germany,Master's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Other,Male,White or of European descent
Spain,Some college/university study without earning a bachelor's degree,A natural science,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",,,Male,Hispanic or Latino/Latina
United Kingdom,Bachelor's degree,A business discipline,,,,,Mobile developer; Desktop applications developer; DevOps specialist,Male,White or of European descent
Germany,Some college/university study without earning a bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",10 to 19 employees,"Privately-held limited company, not in startup mode",16 to 17 years,Web developer; Mobile developer; Data scientist; Database administrator; Systems administrator,Male,White or of European descent
Germany,Master's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",4 to 5 years,Web developer; Desktop applications developer,Male,White or of European descent
Poland,Master's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Developer with a statistics or mathematics background; Other,,
Germany,Master's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",Less than a year,Web developer; Mobile developer; Desktop applications developer,Male,White or of European descent
New Zealand,Master's degree,Computer science or software engineering,Never,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years,Web developer; DevOps specialist; Other,Male,White or of European descent
Brazil,Some college/university study without earning a bachelor's degree,Computer programming or Web development,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",2 to 3 years,Web developer,Male,White or of European descent
Israel,Bachelor's degree,Computer science or software engineering,Never,Fewer than 10 employees,Venture-funded startup,4 to 5 years,Web developer; Desktop applications developer; Other,Male,White or of European descent
United States,Doctoral degree,A natural science,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,Web developer; Developer with a statistics or mathematics background; Other,Male,White or of European descent
New Zealand,Master's degree,Computer science or software engineering,Never,Fewer than 10 employees,"Privately-held limited company, not in startup mode",13 to 14 years,Web developer; Graphic designer; Database administrator; DevOps specialist,Male,White or of European descent
Russian Federation,Master's degree,A non-computer-focused engineering discipline,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",12 to 13 years,Web developer; DevOps specialist,Male,White or of European descent
Singapore,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,Fewer than 10 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer,Male,South Asian
United States,Bachelor's degree,A social science,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,15 to 16 years,Desktop applications developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer,,
India,Master's degree,A health science,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Developer with a statistics or mathematics background; Desktop applications developer,Male,
Finland,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",10 to 11 years,Web developer,Male,White or of European descent
Spain,Master's degree,Computer science or software engineering,Never,100 to 499 employees,Government agency or public school/university,11 to 12 years,Web developer; Mobile developer; Graphics programming,,White or of European descent
India,Master's degree,Computer programming or Web development,A few days each month,Fewer than 10 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer,,
United States,Bachelor's degree,Mathematics or statistics,"Less than half the time, but at least one day each week",Fewer than 10 employees,I don't know,2 to 3 years,Web developer; Developer with a statistics or mathematics background; Database administrator,Male,White or of European descent
United Kingdom,Master's degree,Computer programming or Web development,Never,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",6 to 7 years,Web developer,Male,White or of European descent
Germany,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",500 to 999 employees,Non-profit/non-governmental organization or private school/university,2 to 3 years,Web developer; Desktop applications developer,Male,White or of European descent
Slovenia,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",1 to 2 years,Mobile developer,Male,White or of European descent
Sweden,Master's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Desktop applications developer,Male,White or of European descent
Sweden,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Database administrator; Systems administrator; DevOps specialist,Male,White or of European descent
Poland,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",1 to 2 years,Desktop applications developer; DevOps specialist,Male,White or of European descent
Spain,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,100 to 499 employees,Pre-series A startup,20 or more years,Web developer,Male,White or of European descent
Italy,Secondary school,,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",14 to 15 years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,Male,White or of European descent
United States,Bachelor's degree,Something else,It's complicated,Fewer than 10 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",3 to 4 years,Web developer; Machine learning specialist; Data scientist; Database administrator; DevOps specialist,Male,South Asian
United Kingdom,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",20 or more years,Web developer,Male,East Asian
Netherlands,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,10 to 19 employees,Venture-funded startup,4 to 5 years,Web developer; Database administrator; DevOps specialist,Male,Black or of African descent; Hispanic or Latino/Latina
United States,Bachelor's degree,Computer programming or Web development,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Graphic designer; Database administrator,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,Pre-series A startup,Less than a year,Mobile developer; Other,Male,South Asian
United States,Bachelor's degree,Computer programming or Web development,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",7 to 8 years,Mobile developer,Male,White or of European descent
Portugal,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,100 to 499 employees,Publicly-traded corporation,1 to 2 years,Web developer; Embedded applications/devices developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,"Privately-held limited company, not in startup mode",18 to 19 years,Web developer,Male,White or of European descent
Germany,Master's degree,Computer science or software engineering,Never,100 to 499 employees,Government agency or public school/university,2 to 3 years,Web developer; Desktop applications developer; Other,Male,White or of European descent
United States,Bachelor's degree,Computer engineering or electrical/electronics engineering,About half the time,"10,000 or more employees",Publicly-traded corporation,12 to 13 years,Data scientist; Database administrator; Systems administrator; Other,Male,White or of European descent
Canada,Bachelor's degree,Computer science or software engineering,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer,Male,White or of European descent
Canada,Bachelor's degree,Psychology,A few days each month,20 to 99 employees,I prefer not to answer,3 to 4 years,Web developer,Female,White or of European descent
United Kingdom,Bachelor's degree,A humanities discipline,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Mobile developer; Embedded applications/devices developer; Data scientist; Database administrator,Female,
Serbia,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,"10,000 or more employees","Privately-held limited company, not in startup mode",16 to 17 years,Mobile developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,Never,Fewer than 10 employees,Pre-series A startup,1 to 2 years,Web developer; Mobile developer; DevOps specialist,Male,White or of European descent
United States,Bachelor's degree,A humanities discipline,A few days each month,500 to 999 employees,I don't know,2 to 3 years,Web developer,,
United States,Some college/university study without earning a bachelor's degree,Fine arts or performing arts,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer,Gender non-conforming,White or of European descent
United States,Bachelor's degree,Management information systems,Never,"1,000 to 4,999 employees",Government agency or public school/university,16 to 17 years,Web developer; Data scientist; Other,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees","Sole proprietorship or partnership, not in startup mode",1 to 2 years,Web developer; Desktop applications developer; Systems administrator; Quality assurance engineer,Male,I prefer not to say
Russian Federation,Master's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",9 to 10 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer programming or Web development,Never,"1,000 to 4,999 employees",Non-profit/non-governmental organization or private school/university,3 to 4 years,Web developer,,
United States,Bachelor's degree,Computer engineering or electrical/electronics engineering,"Less than half the time, but at least one day each week",100 to 499 employees,Venture-funded startup,9 to 10 years,Web developer,Male,South Asian
United States,Bachelor's degree,Computer programming or Web development,"Less than half the time, but at least one day each week",Fewer than 10 employees,"Privately-held limited company, not in startup mode",16 to 17 years,Web developer; Database administrator; Systems administrator; DevOps specialist,Male,White or of European descent
Spain,Master's degree,Mathematics or statistics,Never,20 to 99 employees,Venture-funded startup,1 to 2 years,Web developer; Developer with a statistics or mathematics background,Male,I don’t know
Czech Republic,Some college/university study without earning a bachelor's degree,Mathematics or statistics,All or almost all the time (I'm full-time remote),10 to 19 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Data scientist; Database administrator,Male,White or of European descent
United States,Bachelor's degree,"Information technology, networking, or system administration",A few days each month,"10,000 or more employees",Publicly-traded corporation,7 to 8 years,Mobile developer; Desktop applications developer; Database administrator; Systems administrator,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,5 to 6 years,Web developer; DevOps specialist,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Mobile developer,Male,White or of European descent
France,Master's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),Fewer than 10 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Mobile developer; Desktop applications developer,Male,White or of European descent
France,Master's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer,Male,White or of European descent
Romania,Bachelor's degree,Computer science or software engineering,A few days each month,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",9 to 10 years,Web developer; Desktop applications developer,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",I don't know,Government agency or public school/university,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Developer with a statistics or mathematics background; Data scientist; Graphic designer; Desktop applications developer; Database administrator; Systems administrator,Male,White or of European descent
United States,Master's degree,A humanities discipline,It's complicated,100 to 499 employees,"Privately-held limited company, not in startup mode",17 to 18 years,Web developer; Desktop applications developer; DevOps specialist,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",Less than a year,Desktop applications developer,Male,White or of European descent
Portugal,Master's degree,A natural science,It's complicated,100 to 499 employees,"Privately-held limited company, not in startup mode",7 to 8 years,Web developer; Embedded applications/devices developer; Desktop applications developer; Database administrator,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer; Mobile developer; Desktop applications developer,Male,White or of European descent
Mexico,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Web developer,Male,Hispanic or Latino/Latina
United States,Bachelor's degree,A natural science,"Less than half the time, but at least one day each week",I don't know,Government agency or public school/university,20 or more years,Desktop applications developer,Male,White or of European descent
United States,Doctoral degree,A natural science,A few days each month,"10,000 or more employees",Government agency or public school/university,2 to 3 years,Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,Male,I prefer not to say
United States,Bachelor's degree,A non-computer-focused engineering discipline,A few days each month,100 to 499 employees,Non-profit/non-governmental organization or private school/university,20 or more years,DevOps specialist,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,I don't know,2 to 3 years,Web developer; Mobile developer,Female,East Asian
United States,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees","Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Desktop applications developer,Female,Hispanic or Latino/Latina
Canada,Bachelor's degree,Computer programming or Web development,It's complicated,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer; Mobile developer; Database administrator; Systems administrator,Female,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,"More than half, but not all, the time",Fewer than 10 employees,Pre-series A startup,20 or more years,Web developer; Machine learning specialist; Data scientist,Female,White or of European descent
India,Master's degree,Computer programming or Web development,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer,Male,East Asian
India,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees","Privately-held limited company, not in startup mode",6 to 7 years,Web developer; Mobile developer; Desktop applications developer,,
India,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees","Privately-held limited company, not in startup mode",3 to 4 years,Web developer; Mobile developer,,
India,Bachelor's degree,A non-computer-focused engineering discipline,A few days each month,20 to 99 employees,Venture-funded startup,7 to 8 years,Web developer,Male,South Asian
Ecuador,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",10 to 11 years,Web developer; Desktop applications developer,Male,Black or of African descent; Hispanic or Latino/Latina
Canada,Bachelor's degree,A humanities discipline,Never,10 to 19 employees,I don't know,2 to 3 years,Desktop applications developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,I don't know,3 to 4 years,Web developer; Mobile developer; Database administrator; DevOps specialist,Male,I don’t know
Germany,Doctoral degree,A natural science,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",11 to 12 years,Web developer,Male,White or of European descent
Serbia,Secondary school,,It's complicated,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Web developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Government agency or public school/university,3 to 4 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,A natural science,A few days each month,100 to 499 employees,Venture-funded startup,3 to 4 years,Machine learning specialist; Data scientist; DevOps specialist,Male,South Asian
Germany,Secondary school,,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",14 to 15 years,Web developer; Desktop applications developer,Male,Black or of African descent
Germany,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,1 to 2 years,Web developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; Data scientist; Desktop applications developer; Database administrator; Systems administrator,Male,White or of European descent
